Date,Time,Magnitude,Epicenter
B.S:2070-5-14A.D:2013-08-30,Local:23:33UTC:5:48 PM,6.0,Tibet
B.S:2070-3-14A.D:2013-06-28,Local:17:25UTC:11:40 AM,5.5,Rukum
B.S:2070-3-13A.D:2013-06-27,Local:12:05UTC:6:20 AM,4.4,Darchula
B.S:2070-3-12A.D:2013-06-26,Local:04:07UTC:10:22 PM,4.4,Dhanusha
B.S:2070-2-26A.D:2013-06-09,Local:21:56UTC:4:11 PM,4.2,Northern Khotang
B.S:2070-2-17A.D:2013-05-31,Local:11:49UTC:6:04 AM,4.5,Northern Bajura
B.S:2070-2-12A.D:2013-05-26,Local:23:23UTC:5:38 PM,4.2,Sindhupalchok
B.S:2070-1-31A.D:2013-05-14,Local:15:44UTC:9:59 AM,4.5,Western Mugu
B.S:2070-1-31A.D:2013-05-14,Local:09:03UTC:3:18 AM,4.4,Mugu
B.S:2070-1-31A.D:2013-05-14,Local:08:58UTC:3:13 AM,4.3,Mugu
B.S:2070-1-15A.D:2013-04-28,Local:00:13UTC:6:28 PM,4.9,Northern Bajhang
B.S:2069-12-4A.D:2013-03-17,Local:17:44UTC:11:59 AM,4.2,Dhanusha
B.S:2069-11-23A.D:2013-03-06,Local:22:34UTC:4:49 PM,5.4,Rukum
B.S:2069-11-11A.D:2013-02-22,Local:08:26UTC:2:41 AM,4.1,Baglung
B.S:2069-10-25A.D:2013-02-07,Local:06:53UTC:1:08 AM,4.0,Bajhang
B.S:2069-10-5A.D:2013-01-18,Local:02:44UTC:8:59 PM,4.5,Bajhang
B.S:2069-9-29A.D:2013-01-13,Local:23:20UTC:5:35 PM,4.0,Siraha
B.S:2069-9-25A.D:2013-01-09,Local:13:29UTC:7:44 AM,5.5,Northern part of Bajura
B.S:2069-9-18A.D:2013-01-02,Local:23:27UTC:5:42 PM,4.7,Bajhang and Doti border
B.S:2071-9-3A.D:2014-12-18,Local:21:17UTC:3:32 PM,5.9,Solukhumbu
B.S:2071-8-9A.D:2014-11-25,Local:21:34UTC:3:49 PM,4.5,Gorkha
B.S:2071-6-1A.D:2014-09-17,Local:16:14UTC:10:29 AM,4.5,Taplejung
B.S:2071-4-18A.D:2014-08-03,Local:11:42UTC:5:57 AM,5.9,Tibet
B.S:2071-3-23A.D:2014-07-07,Local:22:22UTC:4:37 PM,4.2,Bajhang-Darchula border
B.S:2071-3-20A.D:2014-07-04,Local:11:43UTC:5:58 AM,4.6,Taplejung
B.S:2071-2-11A.D:2014-05-25,Local:08:31UTC:2:46 AM,4.1,Kaski
B.S:2071-2-6A.D:2014-05-20,Local:00:21UTC:6:36 PM,4.3,Gorkha
B.S:2071-1-10A.D:2014-04-23,Local:12:59UTC:7:14 AM,4.0,Taplejung
B.S:2070-12-28A.D:2014-04-11,Local:23:07UTC:5:22 PM,4.2,Achham
B.S:2070-12-17A.D:2014-03-31,Local:13:36UTC:7:51 AM,4.4,Humla
B.S:2072-9-16A.D:2015-12-31,Local:07:41UTC:01:56,4.3,Sindhupalchowk
B.S:2072-9-13A.D:2015-12-28,Local:03:52UTC:22:07,4.2,Dolakha
B.S:2072-9-11A.D:2015-12-26,Local:10:33UTC:4:48 AM,4.1,Bajura
B.S:2072-9-8A.D:2015-12-23,Local:08:59UTC:03:14,4.1,Dolakha
B.S:2072-9-3A.D:2015-12-18,Local:04:01UTC:10:16 PM,5.5,Bajura
B.S:2072-8-27A.D:2015-12-13,Local:08:45UTC:03:00,4.1,Dhading
B.S:2072-8-21A.D:2015-12-07,Local:07:27UTC:01:42,4.0,Dolakha
B.S:2072-8-14A.D:2015-11-30,Local:06:10UTC:00:25,4.1,Kathmandu
B.S:2072-8-11A.D:2015-11-27,Local:15:23UTC:09:38,4.1,kavrepalanchok
B.S:2072-8-11A.D:2015-11-27,Local:16:22UTC:10:37 AM,4.6,Panchthar
B.S:2072-8-9A.D:2015-11-25,Local:00:42UTC:18:57,4.1,Sindhupalchowk
B.S:2072-8-8A.D:2015-11-24,Local:18:09UTC:12:24,4.4,Gorkha
B.S:2072-8-8A.D:2015-11-24,Local:17:00UTC:11:15,4.0,Nuwakot
B.S:2072-8-6A.D:2015-11-22,Local:19:11UTC:1:26 PM,4.1,Myagdi
B.S:2072-8-4A.D:2015-11-20,Local:13:45UTC:8:00 AM,4.0,Baglung
B.S:2072-8-3A.D:2015-11-19,Local:17:44UTC:11:59,4.0,Sindhupalchok
B.S:2072-8-3A.D:2015-11-19,Local:10:00UTC:04:15,5.3,Sindupalchok
B.S:2072-8-1A.D:2015-11-17,Local:18:55UTC:13:10,4.3,Rasuwa
B.S:2072-7-26A.D:2015-11-12,Local:15:45UTC:10:00,4.2,Sindupalchok
B.S:2072-7-14A.D:2015-10-31,Local:09:28UTC:03:43,4.3,Rasuwa
B.S:2072-6-30A.D:2015-10-17,Local:23:46UTC:18:01,4.2,Dolakha
B.S:2072-6-29A.D:2015-10-16,Local:14:28UTC:08:43,4.2,Dolakha
B.S:2072-6-21A.D:2015-10-08,Local:21:58UTC:16:13,4.1,Sindupalchowk
B.S:2072-6-21A.D:2015-10-08,Local:13:00UTC:07:15,4.0,Lalitpur
B.S:2072-6-20A.D:2015-10-07,Local:05:15UTC:23:30,4.2,Dolakha
B.S:2072-6-19A.D:2015-10-06,Local:17:47UTC:12:02,4.2,Dolakha
B.S:2072-6-18A.D:2015-10-05,Local:13:18UTC:07:33,4.8,Dolakha
B.S:2072-6-18A.D:2015-10-05,Local:13:21UTC:07:36,4.2,Dolakha
B.S:2072-6-12A.D:2015-09-29,Local:16:39UTC:10:54,4.6,Sindhupalchowk
B.S:2072-6-12A.D:2015-09-29,Local:15:12UTC:9:27 AM,4.6,Darchula
B.S:2072-6-5A.D:2015-09-22,Local:12:17UTC:06:32,4.5,Dhading
B.S:2072-6-3A.D:2015-09-20,Local:04:05UTC:22:20,4.0,Dolakha
B.S:2072-5-30A.D:2015-09-16,Local:20:37UTC:14:52,4.2,Dolakha
B.S:2072-5-23A.D:2015-09-09,Local:18:23UTC:12:38,4.0,Dolakha
B.S:2072-5-17A.D:2015-09-03,Local:05:10UTC:23:25,4.3,Sindhupalchowk
B.S:2072-5-16A.D:2015-09-02,Local:04:51UTC:23:06,4.4,Dolakha
B.S:2072-5-14A.D:2015-08-31,Local:23:33UTC:17:48,4.2,Sindhupalchowk
B.S:2072-5-13A.D:2015-08-30,Local:19:02UTC:13:17,5.0,Sindhupalchowk
B.S:2072-5-13A.D:2015-08-30,Local:08:26UTC:02:41,4.1,Dolakha
B.S:2072-5-13A.D:2015-08-30,Local:03:09UTC:21:24,4.3,Dhading
B.S:2072-5-10A.D:2015-08-27,Local:06:07UTC:00:22,4.1,Gorkha
B.S:2072-5-10A.D:2015-08-27,Local:00:51UTC:19:06,4.2,Sindhupalchowk
B.S:2072-5-9A.D:2015-08-26,Local:13:31UTC:7:46 AM,4.1,Humla
B.S:2072-5-8A.D:2015-08-25,Local:15:08UTC:09:23,4.0,Dolakha
B.S:2072-5-6A.D:2015-08-23,Local:14:47UTC:09:02,5.1,Dolakha
B.S:2072-5-4A.D:2015-08-21,Local:12:21UTC:06:36,4.0,Nuwakot
B.S:2072-5-3A.D:2015-08-20,Local:11:47UTC:06:02,4.6,Rasuwa
B.S:2072-5-1A.D:2015-08-18,Local:04:08UTC:22:23,4.8,Dolakha
B.S:2072-4-30A.D:2015-08-15,Local:23:56UTC:18:11,4.8,Dolakha
B.S:2072-4-30A.D:2015-08-15,Local:10:10UTC:04:25,4.1,Dolakha
B.S:2072-4-29A.D:2015-08-14,Local:18:47UTC:13:02,4.3,Dolakha
B.S:2072-4-28A.D:2015-08-13,Local:01:49UTC:20:04,4.0,Kathmandu
B.S:2072-4-26A.D:2015-08-11,Local:10:42UTC:04:57,4.3,Kathmandu
B.S:2072-4-25A.D:2015-08-10,Local:04:15UTC:22:30,4.9,Gorkha
B.S:2072-4-24A.D:2015-08-09,Local:00:21UTC:6:36 PM,4.0,Humla
B.S:2072-4-24A.D:2015-08-09,Local:07:55UTC:02:10,4.1,Sindupalchok
B.S:2072-4-23A.D:2015-08-08,Local:21:25UTC:15:40,4.1,Dolakha
B.S:2072-4-23A.D:2015-08-08,Local:06:24UTC:00:39,4.0,Sindupalchok
B.S:2072-4-22A.D:2015-08-07,Local:11:57UTC:06:12,4.4,Kavre
B.S:2072-4-21A.D:2015-08-06,Local:20:36UTC:14:51,4.1,Sindupalchok
B.S:2072-4-20A.D:2015-08-05,Local:13:59UTC:08:14,4.3,Dolakha
B.S:2072-4-20A.D:2015-08-05,Local:17:38UTC:11:53,4.1,Dolakha
B.S:2072-4-16A.D:2015-08-01,Local:07:22UTC:01:37,4.2,Sindupalchok
B.S:2072-4-14A.D:2015-07-30,Local:20:18UTC:14:33,4.5,Dolakha
B.S:2072-4-12A.D:2015-07-28,Local:21:23UTC:15:38,4.1,Dolakha
B.S:2072-4-12A.D:2015-07-28,Local:18:38UTC:12:53,4.0,Dolakha
B.S:2072-4-12A.D:2015-07-28,Local:09:21UTC:03:36,4.1,Sindupalchok
B.S:2072-4-11A.D:2015-07-27,Local:18:23UTC:12:38,4.2,Nuwakot
B.S:2072-4-10A.D:2015-07-26,Local:09:30UTC:03:45,4.1,Dolakha
B.S:2072-4-10A.D:2015-07-26,Local:10:03UTC:04:18,4.0,Sindupalchok
B.S:2072-4-9A.D:2015-07-25,Local:20:04UTC:14:19,4.5,Dolakha
B.S:2072-4-9A.D:2015-07-25,Local:00:05UTC:18:20,4.3,Dolakha
B.S:2072-4-6A.D:2015-07-22,Local:22:14UTC:16:29,4.6,Kathmandu
B.S:2072-4-5A.D:2015-07-21,Local:08:09UTC:02:24,4.3,Dolakha
B.S:2072-4-1A.D:2015-07-17,Local:05:09UTC:23:24,4.0,Gorkha
B.S:2072-3-30A.D:2015-07-15,Local:08:14UTC:2:29 AM,4.1,Darchula
B.S:2072-3-28A.D:2015-07-13,Local:17:39UTC:11:54,4.2,Dolakha
B.S:2072-3-28A.D:2015-07-13,Local:16:01UTC:10:16,4.0,Rasuwa
B.S:2072-3-26A.D:2015-07-11,Local:02:28UTC:20:43,4.4,Dolakha
B.S:2072-3-24A.D:2015-07-09,Local:17:59UTC:12:14,4.4,Sindupalchok
B.S:2072-3-23A.D:2015-07-08,Local:10:19UTC:04:34,4.1,Dolakha
B.S:2072-3-23A.D:2015-07-08,Local:09:55UTC:04:10,4.2,Sindhupalchok
B.S:2072-3-22A.D:2015-07-07,Local:15:16UTC:9:31 AM,4.6,Bajura
B.S:2072-3-22A.D:2015-07-07,Local:21:06UTC:3:21 PM,4.2,Baglung
B.S:2072-3-21A.D:2015-07-06,Local:21:14UTC:15:29,4.4,Sindhupalchok
B.S:2072-3-21A.D:2015-07-06,Local:10:48UTC:05:03,4.3,Dolakha
B.S:2072-3-20A.D:2015-07-05,Local:10:07UTC:04:22,4.2,Dolakha
B.S:2072-3-20A.D:2015-07-05,Local:01:27UTC:19:42,4.4,Sindupalchok
B.S:2072-3-19A.D:2015-07-04,Local:01:49UTC:20:04,4.6,Dhading
B.S:2072-3-17A.D:2015-07-02,Local:05:26UTC:23:41,4.1,Kavre
B.S:2072-3-17A.D:2015-07-02,Local:07:41UTC:01:56,5.0,Sindhupalchowk
B.S:2072-3-16A.D:2015-07-01,Local:15:24UTC:09:39,4.0,Nuwakot
B.S:2072-3-16A.D:2015-07-01,Local:09:12UTC:03:27,4.0,Dolakha
B.S:2072-3-16A.D:2015-07-01,Local:03:33UTC:21:48,4.0,Sindhupalchowk
B.S:2072-3-15A.D:2015-06-30,Local:03:31UTC:21:46,4.4,Kavre
B.S:2072-3-14A.D:2015-06-29,Local:05:42UTC:23:57,5.0,Ramechhap
B.S:2072-3-14A.D:2015-06-29,Local:23:27UTC:17:42,4.1,Sindhupalchowk
B.S:2072-3-14A.D:2015-06-29,Local:23:34UTC:17:49,4.0,Sindhupalchowk
B.S:2072-3-13A.D:2015-06-28,Local:22:01UTC:16:16,4.3,Sindhupalchok
B.S:2072-3-11A.D:2015-06-26,Local:14:45UTC:09:00,4.1,Lalitpur
B.S:2072-3-11A.D:2015-06-26,Local:18:02UTC:12:17,4.2,Dolakha
B.S:2072-3-10A.D:2015-06-25,Local:23:51UTC:18:06,4.2,Sindhupalchok
B.S:2072-3-10A.D:2015-06-25,Local:23:49UTC:18:04,4.1,Dolakha
B.S:2072-3-10A.D:2015-06-25,Local:21:07UTC:15:22,4.3,Nuwakot
B.S:2072-3-9A.D:2015-06-24,Local:14:59UTC:09:14,4.0,Sindhupalchowk
B.S:2072-3-7A.D:2015-06-22,Local:13:19UTC:07:34,4.0,Dolakha
B.S:2072-3-6A.D:2015-06-21,Local:19:26UTC:13:41,4.3,Sindupalchok
B.S:2072-3-5A.D:2015-06-20,Local:18:08UTC:12:23 PM,5.4,Rukum
B.S:2072-3-5A.D:2015-06-20,Local:02:40UTC:20:55,4.2,Gorkha
B.S:2072-3-4A.D:2015-06-19,Local:01:50UTC:20:05,4.0,Gorkha
B.S:2072-3-3A.D:2015-06-18,Local:08:24UTC:02:39,4.1,Dhading
B.S:2072-3-2A.D:2015-06-17,Local:08:00UTC:02:15,5.1,Tibet
B.S:2072-3-2A.D:2015-06-17,Local:06:26UTC:00:41,4.0,Sindhupalchok
B.S:2072-3-2A.D:2015-06-17,Local:06:14UTC:00:29,5.2,Sindhupalchok
B.S:2072-3-2A.D:2015-06-17,Local:05:58UTC:00:13,4.4,Kathmandu
B.S:2072-3-1A.D:2015-06-16,Local:21:56UTC:16:11,4.1,Dolakha
B.S:2072-2-32A.D:2015-06-15,Local:15:52UTC:10:07,4.1,Sindhupalchowk
B.S:2072-2-31A.D:2015-06-14,Local:05:59UTC:00:14,4.2,Nuwakot
B.S:2072-2-31A.D:2015-06-14,Local:15:01UTC:09:16,4.1,Dolakha
B.S:2072-2-30A.D:2015-06-13,Local:07:03UTC:01:18,5.2,Dolakha
B.S:2072-2-29A.D:2015-06-12,Local:10:19UTC:04:34,4.4,Dolakha
B.S:2072-2-29A.D:2015-06-12,Local:01:22UTC:19:37,4.6,Gorkha
B.S:2072-2-28A.D:2015-06-11,Local:21:57UTC:16:12,5.3,Sindhupalchowk
B.S:2072-2-28A.D:2015-06-11,Local:10:02UTC:04:17,4.6,Sindhupalchowk
